site_id,site_agency_acronym
1,DEFAULT
79,AGE
80,AGE
81,AGO
82,AGO
83,AUD
84,OBM
86,DDD
87,DAS
88,DAS
89,BWC
90,DYS
91,TAX
93,DAS
94,DAS
95,DAS
97,DAS
98,DAS
99,DEV
100,DDD
101,DPS
104,DPS
105,DRC
107,JFS
108,DAS
109,JFS
110,LOT
111,MED
112,MED
113,DMH
114,OBM
115,DOH
116,DOH
117,MCD
118,MCD
119,DNR
120,DOT
121,DOT
122,DPS
123,AGR
124,AGR
125,EDU
126,EDU
127,BOR
128,BOR
129,DMH
130,DVS
131,DVS
132,DYS
133,SFC
134,HFA
135,TTA
136,TTA
137,OOD
139,DPS
141,DPS
143,PRX
144,PRX
145,PUB
146,PUB
147,JSC
148,JSC
149,HFA
151,DEV
152,INS
153,JFS
154,JFS
155,OOD
157,DAS
158,EPA
159,EPA
160,AUD
161,PUC
162,PUC
163,DAS
164,DOH
165,DOH
166,DOH
169,DAS
170,DAS
171,DAS
172,DAS
173,DAS
174,DAS
175,DNR
177,COM
178,COM
179,DAS
180,DAS
181,LIB
182,LIB
183,DAS
216,DPS
217,DAS
218,DAS
219,DAS
251,DPS
252,DAS
253,DPS
254,DOH
255,DOH
256,TAX
257,DEV
258,DEV
259,INS
260,JFS
261,JFS
262,DAS
263,AIR
264,OSB
265,DAS
266,DAS
267,SOS
268,SOS
269,DAS
270,DAS
271,DAS
